Inventory ID,Name,Description,Unit Price,Quantity in Stock,Inventory Value,Reorder Level,Reorder Time in Days,Quantity in Reorder,Discontinued?
IN0001,Item 1,Desc 1,51,25,1275,29,13,50,
IN0002,Item 2,Desc 2,93,132,12276,231,4,50,
IN0003,Item 3,Desc 3,57,151,8607,114,11,150,
IN0004,Item 4,Desc 4,19,186,3534,158,6,50,
IN0005,Item 5,Desc 5,75,62,4650,39,12,50,
IN0006,Item 6,Desc 6,11,5,55,9,13,150,
IN0007,Item 7,Desc 7,56,58,3248,109,7,100,yes
IN0008,Item 8,Desc 8,38,101,3838,162,3,100,
IN0009,Item 9,Desc 9,59,122,7198,82,3,150,
IN0010,Item 10,Desc 10,50,175,8750,283,8,150,
IN0011,Item 11,Desc 11,59,176,10384,229,1,100,
IN0012,Item 12,Desc 12,18,22,396,36,12,50,
IN0013,Item 13,Desc 13,26,72,1872,102,9,100,
IN0014,Item 14,Desc 14,42,62,2604,83,2,100,
IN0015,Item 15,Desc 15,32,46,1472,23,15,50,
IN0016,Item 16,Desc 16,90,96,8640,180,3,50,
IN0017,Item 17,Desc 17,97,57,5529,98,12,50,Yes
IN0018,Item 18,Desc 18,12,6,72,7,13,50,
IN0019,Item 19,Desc 19,82,143,11726,164,12,150,
IN0020,Item 20,Desc 20,16,124,1984,113,14,50,
IN0021,Item 21,Desc 21,19,112,2128,75,11,50,
IN0022,Item 22,Desc 22,24,182,4368,132,15,150,
IN0023,Item 23,Desc 23,29,106,3074,142,1,150,Yes
IN0024,Item 24,Desc 24,75,173,12975,127,9,100,
IN0025,Item 25,Desc 25,14,28,392,21,8,50,
